fid,objectid,dtcc,municipio,designacao_no_plano,classe_2021,categoria_2021,escala_origem,fonte,area_ha,autor,data_pub_origem,registo_ou_deposito,situacao_pdm,codigo
205411,205411,1315,VALONGO,Solo Rústico - Aglomerado Rural,Solo Rústico,Aglomerado Rural,1/10000,CM - Vectorial e Raster,2.0214994973835534,DGT,2025-02-21 00:00:00+00:00,01.13.15/PDM/03/2025/37,Vigente,13
205412,205412,1315,VALONGO,Solo Urbano - Espaços Habitacionais (i),Solo Urbano,Espaço Habitacional,1/10000,CM - Vectorial e Raster,15.837547135300282,DGT,2025-02-21 00:00:00+00:00,01.13.15/PDM/03/2025/37,Vigente,3
205413,205413,1315,VALONGO,Solo Urbano - Espaços Verdes de Enquadramento,Solo Urbano,Espaço Verde,1/10000,CM - Vectorial e Raster,0.9390041558932571,DGT,2025-02-21 00:00:00+00:00,01.13.15/PDM/03/2025/37,Vigente,7
205414,205414,1315,VALONGO,Solo Urbano - Espaços Verdes de Enquadramento,Solo Urbano,Espaço Verde,1/10000,CM - Vectorial e Raster,0.6358579176792409,DGT,2025-02-21 00:00:00+00:00,01.13.15/PDM/03/2025/37,Vigente,7
205415,205415,1315,VALONGO,Solo Urbano - Espaços Verdes de Enquadramento,Solo Urbano,Espaço Verde,1/10000,CM - Vectorial e Raster,2.3876220727432402,DGT,2025-02-21 00:00:00+00:00,01.13.15/PDM/03/2025/37,Vigente,7
205416,205416,1315,VALONGO,Solo Urbano - Espaços Verdes de Enquadramento,Solo Urbano,Espaço Verde,1/10000,CM - Vectorial e Raster,2.6211802882799793,DGT,2025-02-21 00:00:00+00:00,01.13.15/PDM/03/2025/37,Vigente,7
205417,205417,1315,VALONGO,Solo Urbano - Espaços Verdes de Enquadramento,Solo Urbano,Espaço Verde,1/10000,CM - Vectorial e Raster,4.744273119469581,DGT,2025-02-21 00:00:00+00:00,01.13.15/PDM/03/2025/37,Vigente,7
205418,205418,1315,VALONGO,Solo Urbano - Espaços Verdes de Enquadramento,Solo Urbano,Espaço Verde,1/10000,CM - Vectorial e Raster,17.36925679980634,DGT,2025-02-21 00:00:00+00:00,01.13.15/PDM/03/2025/37,Vigente,7
205419,205419,1315,VALONGO,Solo Urbano - Espaços Verdes de Enquadramento,Solo Urbano,Espaço Verde,1/10000,CM - Vectorial e Raster,3.165541398183396,DGT,2025-02-21 00:00:00+00:00,01.13.15/PDM/03/2025/37,Vigente,7
205420,205420,1315,VALONGO,Solo Urbano - Espaços Verdes de Enquadramento,Solo Urbano,Espaço Verde,1/10000,CM - Vectorial e Raster,3.9909997161124133,DGT,2025-02-21 00:00:00+00:00,01.13.15/PDM/03/2025/37,Vigente,7
