fid,objectid,dtcc,municipio,designacao_no_plano,classe_2021,categoria_2021,escala_origem,fonte,area_ha,autor,data_pub_origem,registo_ou_deposito,situacao_pdm,codigo
49294,49294,1309,PAÇOS DE FERREIRA,Espaço Agrícola - Área Agro-florestal,Solo Rústico,Espaço Florestal,1/10000,CM - Raster,0.25168018625341354,DGT,2007-12-05 00:00:00+00:00,01.13.09/169/2011/PDM/03,Vigente,9
49295,49295,1309,PAÇOS DE FERREIRA,Espaço Agrícola - Área Agro-florestal,Solo Rústico,Espaço Florestal,1/10000,CM - Raster,0.6756103225735948,DGT,2007-12-05 00:00:00+00:00,01.13.09/169/2011/PDM/03,Vigente,9
49296,49296,1309,PAÇOS DE FERREIRA,Solo cuja Urbanização sejá possivel programar - Área de Expansão de Nível 2,Solo Urbano (urbanizável – transitório),Não Atribuída,1/10000,CM - Raster,8.985602115305863,DGT,2007-12-05 00:00:00+00:00,01.13.09/169/2011/PDM/03,Vigente,9998
49297,49297,1309,PAÇOS DE FERREIRA,Solo cuja Urbanização sejá possivel programar - Área de Expansão de Nível 2,Solo Urbano (urbanizável – transitório),Não Atribuída,1/10000,CM - Raster,10.427547356122732,DGT,2007-12-05 00:00:00+00:00,01.13.09/169/2011/PDM/03,Vigente,9998
49298,49298,1309,PAÇOS DE FERREIRA,Solo Urbanizado - Área Mista de Nível 3,Solo Urbano,Não Atribuída,1/10000,CM - Raster,236.19442383859092,DGT,2007-12-05 00:00:00+00:00,01.13.09/169/2011/PDM/03,Vigente,9998
49299,49299,1309,PAÇOS DE FERREIRA,Solo Urbanizado - Área Mista de Nível 3,Solo Urbano,Não Atribuída,1/10000,CM - Raster,105.40082946386224,DGT,2007-12-05 00:00:00+00:00,01.13.09/169/2011/PDM/03,Vigente,9998
49300,49300,1309,PAÇOS DE FERREIRA,Solo Urbanizado - Área Mista de Nível 3,Solo Urbano,Não Atribuída,1/10000,CM - Raster,17.61843385933868,DGT,2007-12-05 00:00:00+00:00,01.13.09/169/2011/PDM/03,Vigente,9998
49301,49301,1309,PAÇOS DE FERREIRA,Espaço Florestal - Área Florestal de Produção,Solo Rústico,Espaço Florestal,1/10000,CM - Raster,50.42476760941595,DGT,2007-12-05 00:00:00+00:00,01.13.09/169/2011/PDM/03,Vigente,9
49302,49302,1309,PAÇOS DE FERREIRA,Espaço Florestal - Área Florestal de Produção,Solo Rústico,Espaço Florestal,1/10000,CM - Raster,4.568823633026355,DGT,2007-12-05 00:00:00+00:00,01.13.09/169/2011/PDM/03,Vigente,9
49303,49303,1309,PAÇOS DE FERREIRA,Solo Urbanizado - Área Mista de Nível 3,Solo Urbano,Não Atribuída,1/10000,CM - Raster,287.33923905055326,DGT,2007-12-05 00:00:00+00:00,01.13.09/169/2011/PDM/03,Vigente,9998
