fid,objectid,dtcc,municipio,designacao_no_plano,classe_2021,categoria_2021,escala_origem,fonte,area_ha,autor,data_pub_origem,registo_ou_deposito,situacao_pdm,codigo
104411,104411,1311,PENAFIEL,Espaço de urbanização programada - Área empresarial/ Indústria proposta,Solo Urbano (urbanizável – transitório),Espaço de Atividades Económicas,1/10000,CM - Vectorial,34.72809052326915,DGT,2007-10-12 00:00:00+00:00,01.13.11/58/2008/PDM/03,Vigente,5
104412,104412,1311,PENAFIEL,Espaço de urbanização programada - Área empresarial/ Indústria proposta,Solo Urbano (urbanizável – transitório),Espaço de Atividades Económicas,1/10000,CM - Vectorial,21.17298370114174,DGT,2007-10-12 00:00:00+00:00,01.13.11/58/2008/PDM/03,Vigente,5
104413,104413,1311,PENAFIEL,Espaço de urbanização programada - Área empresarial/ Indústria proposta,Solo Urbano (urbanizável – transitório),Espaço de Atividades Económicas,1/10000,CM - Vectorial,31.632699584346824,DGT,2007-10-12 00:00:00+00:00,01.13.11/58/2008/PDM/03,Vigente,5
104414,104414,1311,PENAFIEL,Espaço urbanizado - Área de equipamento estruturante existente (Religioso),Solo Urbano,Espaço de Uso Especial Equipamentos e Infraestruturas,1/10000,CM - Vectorial,1.7776524905504776,DGT,2007-10-12 00:00:00+00:00,01.13.11/58/2008/PDM/03,Vigente,
104415,104415,1311,PENAFIEL,Espaço urbanizado - Área de equipamento estruturante existente (Parque da Cidade),Solo Urbano,Espaço de Uso Especial Equipamentos e Infraestruturas,1/10000,CM - Vectorial,0.12796558148222975,DGT,2007-10-12 00:00:00+00:00,01.13.11/58/2008/PDM/03,Vigente,
104416,104416,1311,PENAFIEL,Espaço urbanizado - Área de equipamento estruturante existente (Ensino),Solo Urbano,Espaço de Uso Especial Equipamentos e Infraestruturas,1/10000,CM - Vectorial,0.1600374998025596,DGT,2007-10-12 00:00:00+00:00,01.13.11/58/2008/PDM/03,Vigente,
104417,104417,1311,PENAFIEL,Espaço urbanizado - Área de equipamento estruturante existente (Religioso),Solo Urbano,Espaço de Uso Especial Equipamentos e Infraestruturas,1/10000,CM - Vectorial,0.5446202129329788,DGT,2007-10-12 00:00:00+00:00,01.13.11/58/2008/PDM/03,Vigente,
104418,104418,1311,PENAFIEL,Espaço urbanizado - Área de equipamento estruturante existente (Religioso),Solo Urbano,Espaço de Uso Especial Equipamentos e Infraestruturas,1/10000,CM - Vectorial,0.42270138781685385,DGT,2007-10-12 00:00:00+00:00,01.13.11/58/2008/PDM/03,Vigente,
104419,104419,1311,PENAFIEL,Espaço urbanizado - Área de equipamento estruturante existente (Religoso/Administrativo),Solo Urbano,Espaço de Uso Especial Equipamentos e Infraestruturas,1/10000,CM - Vectorial,0.9043665434222669,DGT,2007-10-12 00:00:00+00:00,01.13.11/58/2008/PDM/03,Vigente,
104420,104420,1311,PENAFIEL,Espaço urbanizado - Área de equipamento estruturante existente (Religoso),Solo Urbano,Espaço de Uso Especial Equipamentos e Infraestruturas,1/10000,CM - Vectorial,1.0108784209195059,DGT,2007-10-12 00:00:00+00:00,01.13.11/58/2008/PDM/03,Vigente,
