fid,objectid,dtcc,municipio,designacao_no_plano,classe_2021,categoria_2021,escala_origem,fonte,area_ha,autor,data_pub_origem,registo_ou_deposito,situacao_pdm,codigo
80170,80170,1301,AMARANTE,SOLO RÚSTICO - ESPAÇOS NATURAIS - Espaço natural,Solo Rústico,Espaço Natural e Paisagístico,1/10000,CM - Vectorial e Raster,248.35114315485936,DGT,2017-08-23 00:00:00+00:00,01.13.01/PDM/03/2017/144,Vigente,11
80171,80171,1301,AMARANTE,SOLO RÚSTICO - ESPAÇOS NATURAIS - Espaço natural,Solo Rústico,Espaço Natural e Paisagístico,1/10000,CM - Vectorial e Raster,5.721159685007145,DGT,2017-08-23 00:00:00+00:00,01.13.01/PDM/03/2017/144,Vigente,11
80172,80172,1301,AMARANTE,SOLO RÚSTICO - ESPAÇOS NATURAIS - Espaço natural,Solo Rústico,Espaço Natural e Paisagístico,1/10000,CM - Vectorial e Raster,56.351135234998885,DGT,2017-08-23 00:00:00+00:00,01.13.01/PDM/03/2017/144,Vigente,11
80173,80173,1301,AMARANTE,SOLO RÚSTICO - ESPAÇOS NATURAIS - Espaço natural,Solo Rústico,Espaço Natural e Paisagístico,1/10000,CM - Vectorial e Raster,87.01518908498538,DGT,2017-08-23 00:00:00+00:00,01.13.01/PDM/03/2017/144,Vigente,11
80174,80174,1301,AMARANTE,SOLO RÚSTICO - ESPAÇOS NATURAIS - Espaço natural,Solo Rústico,Espaço Natural e Paisagístico,1/10000,CM - Vectorial e Raster,44.67726417502704,DGT,2017-08-23 00:00:00+00:00,01.13.01/PDM/03/2017/144,Vigente,11
80175,80175,1301,AMARANTE,SOLO RÚSTICO - ESPAÇOS NATURAIS - Espaço natural,Solo Rústico,Espaço Natural e Paisagístico,1/10000,CM - Vectorial e Raster,5.888432000001159,DGT,2017-08-23 00:00:00+00:00,01.13.01/PDM/03/2017/144,Vigente,11
80176,80176,1301,AMARANTE,SOLO RÚSTICO - ESPAÇOS NATURAIS - Espaço natural,Solo Rústico,Espaço Natural e Paisagístico,1/10000,CM - Vectorial e Raster,7.327299024960213,DGT,2017-08-23 00:00:00+00:00,01.13.01/PDM/03/2017/144,Vigente,11
80177,80177,1301,AMARANTE,SOLO RÚSTICO - ESPAÇOS NATURAIS - Espaço natural,Solo Rústico,Espaço Natural e Paisagístico,1/10000,CM - Vectorial e Raster,7.301028924987093,DGT,2017-08-23 00:00:00+00:00,01.13.01/PDM/03/2017/144,Vigente,11
80178,80178,1301,AMARANTE,SOLO RÚSTICO - ESPAÇOS NATURAIS - Espaço natural,Solo Rústico,Espaço Natural e Paisagístico,1/10000,CM - Vectorial e Raster,3.005078020008485,DGT,2017-08-23 00:00:00+00:00,01.13.01/PDM/03/2017/144,Vigente,11
80179,80179,1301,AMARANTE,SOLO RÚSTICO - ESPAÇOS NATURAIS - Espaço natural,Solo Rústico,Espaço Natural e Paisagístico,1/10000,CM - Vectorial e Raster,2.138799264993891,DGT,2017-08-23 00:00:00+00:00,01.13.01/PDM/03/2017/144,Vigente,11
