fid,objectid,dtcc,municipio,designacao_no_plano,classe_2021,categoria_2021,escala_origem,fonte,area_ha,autor,data_pub_origem,registo_ou_deposito,situacao_pdm,codigo
122237,122237,1314,SANTO TIRSO,Espaço de Equipamento,Solo Urbano,Espaço de Uso Especial Equipamentos e Infraestruturas,1/10000,CM - Vectorial,2.3369092650132255,DGT,2011-01-18 00:00:00+00:00,01.13.14/157/2011/PDM/05,Não vigente,
122238,122238,1314,SANTO TIRSO,Área de Urbanização Especial,Solo Urbano,Não Atribuída,1/10000,CM - Vectorial,4.9850763368935125,DGT,2011-01-18 00:00:00+00:00,01.13.14/157/2011/PDM/05,Não vigente,9998
122239,122239,1314,SANTO TIRSO,Área de Urbanização Especial,Solo Urbano,Não Atribuída,1/10000,CM - Vectorial,13.640273840372334,DGT,2011-01-18 00:00:00+00:00,01.13.14/157/2011/PDM/05,Não vigente,9998
122240,122240,1314,SANTO TIRSO,Espaço Habitacional Tipo III,Solo Urbano,Espaço Habitacional,1/10000,CM - Vectorial,5.648300156663866,DGT,2011-01-18 00:00:00+00:00,01.13.14/157/2011/PDM/05,Não vigente,3
122241,122241,1314,SANTO TIRSO,Espaço Habitacional Tipo III,Solo Urbano,Espaço Habitacional,1/10000,CM - Vectorial,2.8969249793098077,DGT,2011-01-18 00:00:00+00:00,01.13.14/157/2011/PDM/05,Não vigente,3
122242,122242,1314,SANTO TIRSO,Espaço Habitacional Tipo III,Solo Urbano,Espaço Habitacional,1/10000,CM - Vectorial,0.12541971831566334,DGT,2011-01-18 00:00:00+00:00,01.13.14/157/2011/PDM/05,Não vigente,3
122243,122243,1314,SANTO TIRSO,Espaço Habitacional Tipo III,Solo Urbano,Espaço Habitacional,1/10000,CM - Vectorial,1.022143752587121,DGT,2011-01-18 00:00:00+00:00,01.13.14/157/2011/PDM/05,Não vigente,3
122244,122244,1314,SANTO TIRSO,Espaço Habitacional Tipo III,Solo Urbano,Espaço Habitacional,1/10000,CM - Vectorial,1.0876170292618452,DGT,2011-01-18 00:00:00+00:00,01.13.14/157/2011/PDM/05,Não vigente,3
122245,122245,1314,SANTO TIRSO,Espaço Habitacional Tipo III,Solo Urbano,Espaço Habitacional,1/10000,CM - Vectorial,51.402789847580905,DGT,2011-01-18 00:00:00+00:00,01.13.14/157/2011/PDM/05,Não vigente,3
122246,122246,1314,SANTO TIRSO,Espaço Habitacional Tipo III,Solo Urbano,Espaço Habitacional,1/10000,CM - Vectorial,40.99483835025332,DGT,2011-01-18 00:00:00+00:00,01.13.14/157/2011/PDM/05,Não vigente,3
122247,122247,1314,SANTO TIRSO,Espaço Habitacional Tipo III,Solo Urbano,Espaço Habitacional,1/10000,CM - Vectorial,2.975816219511442,DGT,2011-01-18 00:00:00+00:00,01.13.14/157/2011/PDM/05,Não vigente,3
