fid,objectid,dtcc,municipio,designacao_no_plano,classe_2021,categoria_2021,escala_origem,fonte,area_ha,autor,data_pub_origem,registo_ou_deposito,situacao_pdm,codigo
66853,66853,1304,GONDOMAR,Indefinida,Solo Rústico,Espaço Natural e Paisagístico,1/10000,CM - Vectorial e Raster,0.7956600608531648,DGT,2015-11-09 00:00:00+00:00,01.13.04/PDM/03/2015/202,Vigente,11
66854,66854,1304,GONDOMAR,Indefinida,Solo Rústico,Espaço Natural e Paisagístico,1/10000,CM - Vectorial e Raster,0.06618287189183757,DGT,2015-11-09 00:00:00+00:00,01.13.04/PDM/03/2015/202,Vigente,11
66855,66855,1304,GONDOMAR,Indefinida,Solo Rústico,Espaço Natural e Paisagístico,1/10000,CM - Vectorial e Raster,0.6504541969988961,DGT,2015-11-09 00:00:00+00:00,01.13.04/PDM/03/2015/202,Vigente,11
66856,66856,1304,GONDOMAR,Indefinida,Solo Rústico,Espaço Natural e Paisagístico,1/10000,CM - Vectorial e Raster,0.210831249039626,DGT,2015-11-09 00:00:00+00:00,01.13.04/PDM/03/2015/202,Vigente,11
66857,66857,1304,GONDOMAR,Indefinida,Solo Rústico,Espaço Natural e Paisagístico,1/10000,CM - Vectorial e Raster,0.27445363428239217,DGT,2015-11-09 00:00:00+00:00,01.13.04/PDM/03/2015/202,Vigente,11
66858,66858,1304,GONDOMAR,Indefinida,Solo Rústico,Espaço Natural e Paisagístico,1/10000,CM - Vectorial e Raster,0.036509614633035384,DGT,2015-11-09 00:00:00+00:00,01.13.04/PDM/03/2015/202,Vigente,11
66859,66859,1304,GONDOMAR,Indefinida,Solo Rústico,Espaço Natural e Paisagístico,1/10000,CM - Vectorial e Raster,0.03393813971925993,DGT,2015-11-09 00:00:00+00:00,01.13.04/PDM/03/2015/202,Vigente,11
66860,66860,1304,GONDOMAR,Indefinida,Solo Rústico,Espaço Natural e Paisagístico,1/10000,CM - Vectorial e Raster,0.3100038763317003,DGT,2015-11-09 00:00:00+00:00,01.13.04/PDM/03/2015/202,Vigente,11
66861,66861,1304,GONDOMAR,Indefinida,Solo Rústico,Espaço Natural e Paisagístico,1/10000,CM - Vectorial e Raster,0.20072654518875643,DGT,2015-11-09 00:00:00+00:00,01.13.04/PDM/03/2015/202,Vigente,11
66862,66862,1304,GONDOMAR,Indefinida,Solo Rústico,Espaço Natural e Paisagístico,1/10000,CM - Vectorial e Raster,0.20574471092926105,DGT,2015-11-09 00:00:00+00:00,01.13.04/PDM/03/2015/202,Vigente,11
