fid,objectid,dtcc,municipio,designacao_no_plano,classe_2021,categoria_2021,escala_origem,fonte,area_ha,autor,data_pub_origem,registo_ou_deposito,situacao_pdm,codigo
204053,204053,1318,TROFA,Leito e Margens dos Cursos de Água,Solo Rústico,Espaço Natural e Paisagístico,1/10000,CM - Vectorial e Raster,20.635138529486582,DGT,2025-03-31 00:00:00+00:00,01.13.18/PDM/03/2025/82,Vigente,11
204054,204054,1318,TROFA,Solo Rústico - Aglomerado Rural,Solo Rústico,Aglomerado Rural,1/10000,CM - Vectorial e Raster,3.686234181298176,DGT,2025-03-31 00:00:00+00:00,01.13.18/PDM/03/2025/82,Vigente,13
204055,204055,1318,TROFA,Solo Rústico - Aglomerado Rural,Solo Rústico,Aglomerado Rural,1/10000,CM - Vectorial e Raster,1.1027586783589562,DGT,2025-03-31 00:00:00+00:00,01.13.18/PDM/03/2025/82,Vigente,13
204056,204056,1318,TROFA,Solo Rústico - Aglomerado Rural,Solo Rústico,Aglomerado Rural,1/10000,CM - Vectorial e Raster,2.8968191171913875,DGT,2025-03-31 00:00:00+00:00,01.13.18/PDM/03/2025/82,Vigente,13
204057,204057,1318,TROFA,Solo Rústico - Aglomerado Rural,Solo Rústico,Aglomerado Rural,1/10000,CM - Vectorial e Raster,2.3479462214305067,DGT,2025-03-31 00:00:00+00:00,01.13.18/PDM/03/2025/82,Vigente,13
204058,204058,1318,TROFA,Solo Rústico - Aglomerado Rural,Solo Rústico,Aglomerado Rural,1/10000,CM - Vectorial e Raster,2.113343789830012,DGT,2025-03-31 00:00:00+00:00,01.13.18/PDM/03/2025/82,Vigente,13
204059,204059,1318,TROFA,Solo Rústico - Aglomerado Rural,Solo Rústico,Aglomerado Rural,1/10000,CM - Vectorial e Raster,1.1419302839385812,DGT,2025-03-31 00:00:00+00:00,01.13.18/PDM/03/2025/82,Vigente,13
204060,204060,1318,TROFA,Solo Rústico - Aglomerado Rural,Solo Rústico,Aglomerado Rural,1/10000,CM - Vectorial e Raster,1.1226001988665317,DGT,2025-03-31 00:00:00+00:00,01.13.18/PDM/03/2025/82,Vigente,13
204061,204061,1318,TROFA,Solo Rústico - Aglomerado Rural,Solo Rústico,Aglomerado Rural,1/10000,CM - Vectorial e Raster,2.765832851999579,DGT,2025-03-31 00:00:00+00:00,01.13.18/PDM/03/2025/82,Vigente,13
204062,204062,1318,TROFA,Solo Rústico - Aglomerado Rural,Solo Rústico,Aglomerado Rural,1/10000,CM - Vectorial e Raster,2.620695306877559,DGT,2025-03-31 00:00:00+00:00,01.13.18/PDM/03/2025/82,Vigente,13
204063,204063,1318,TROFA,Solo Rústico - Aglomerado Rural,Solo Rústico,Aglomerado Rural,1/10000,CM - Vectorial e Raster,2.616721427202527,DGT,2025-03-31 00:00:00+00:00,01.13.18/PDM/03/2025/82,Vigente,13
204064,204064,1318,TROFA,Solo Rústico - Aglomerado Rural,Solo Rústico,Aglomerado Rural,1/10000,CM - Vectorial e Raster,4.4931093489550635,DGT,2025-03-31 00:00:00+00:00,01.13.18/PDM/03/2025/82,Vigente,13
204065,204065,1318,TROFA,Solo Rústico - Aglomerado Rural,Solo Rústico,Aglomerado Rural,1/10000,CM - Vectorial e Raster,2.2313254821434008,DGT,2025-03-31 00:00:00+00:00,01.13.18/PDM/03/2025/82,Vigente,13
204066,204066,1318,TROFA,Solo Rústico - Aglomerado Rural,Solo Rústico,Aglomerado Rural,1/10000,CM - Vectorial e Raster,1.3520987226366763,DGT,2025-03-31 00:00:00+00:00,01.13.18/PDM/03/2025/82,Vigente,13
204067,204067,1318,TROFA,Solo Rústico - Espaço Agrícola,Solo Rústico,Espaço Agrícola,1/10000,CM - Vectorial e Raster,111.91878818260396,DGT,2025-03-31 00:00:00+00:00,01.13.18/PDM/03/2025/82,Vigente,8
204068,204068,1318,TROFA,Solo Rústico - Espaço Agrícola,Solo Rústico,Espaço Agrícola,1/10000,CM - Vectorial e Raster,431.82572589016166,DGT,2025-03-31 00:00:00+00:00,01.13.18/PDM/03/2025/82,Vigente,8
204069,204069,1318,TROFA,Solo Rústico - Espaço Agrícola,Solo Rústico,Espaço Agrícola,1/10000,CM - Vectorial e Raster,50.20427042378876,DGT,2025-03-31 00:00:00+00:00,01.13.18/PDM/03/2025/82,Vigente,8
204070,204070,1318,TROFA,Solo Rústico - Espaço Agrícola,Solo Rústico,Espaço Agrícola,1/10000,CM - Vectorial e Raster,73.26050390860298,DGT,2025-03-31 00:00:00+00:00,01.13.18/PDM/03/2025/82,Vigente,8
204071,204071,1318,TROFA,Solo Rústico - Espaço Agrícola,Solo Rústico,Espaço Agrícola,1/10000,CM - Vectorial e Raster,55.0634559631862,DGT,2025-03-31 00:00:00+00:00,01.13.18/PDM/03/2025/82,Vigente,8
204072,204072,1318,TROFA,Solo Rústico - Espaço Agrícola,Solo Rústico,Espaço Agrícola,1/10000,CM - Vectorial e Raster,1.6662055133573828,DGT,2025-03-31 00:00:00+00:00,01.13.18/PDM/03/2025/82,Vigente,8
204073,204073,1318,TROFA,Solo Rústico - Espaço Agrícola,Solo Rústico,Espaço Agrícola,1/10000,CM - Vectorial e Raster,18.649997787952934,DGT,2025-03-31 00:00:00+00:00,01.13.18/PDM/03/2025/82,Vigente,8
204074,204074,1318,TROFA,Solo Rústico - Espaço Agrícola,Solo Rústico,Espaço Agrícola,1/10000,CM - Vectorial e Raster,4.202441944478033,DGT,2025-03-31 00:00:00+00:00,01.13.18/PDM/03/2025/82,Vigente,8
204075,204075,1318,TROFA,Solo Rústico - Espaço Agrícola,Solo Rústico,Espaço Agrícola,1/10000,CM - Vectorial e Raster,34.47296073629027,DGT,2025-03-31 00:00:00+00:00,01.13.18/PDM/03/2025/82,Vigente,8
204076,204076,1318,TROFA,Solo Rústico - Espaço Agrícola,Solo Rústico,Espaço Agrícola,1/10000,CM - Vectorial e Raster,15.815245918518771,DGT,2025-03-31 00:00:00+00:00,01.13.18/PDM/03/2025/82,Vigente,8
204077,204077,1318,TROFA,Solo Rústico - Espaço Agrícola,Solo Rústico,Espaço Agrícola,1/10000,CM - Vectorial e Raster,33.05958804612048,DGT,2025-03-31 00:00:00+00:00,01.13.18/PDM/03/2025/82,Vigente,8
