fid,objectid,dtcc,municipio,designacao_no_plano,classe_2021,categoria_2021,escala_origem,fonte,area_ha,autor,data_pub_origem,registo_ou_deposito,situacao_pdm,codigo
67463,67463,1307,MARCO DE CANAVESES,Solo Rural-Espaços Agrícolas ou Florestais-Espaços de Uso Múltiplo Agrícola e Florestal,Solo Rústico,Espaço Florestal,1/10000,CM - Vectorial e Raster,1.4129213073762832,DGT,2015-08-31 00:00:00+00:00,01.13.07/PDM/03/2015/149,Vigente,9
67464,67464,1307,MARCO DE CANAVESES,Solo Rural-Aglomerados Rurais,Solo Rústico,Aglomerado Rural,1/10000,CM - Vectorial e Raster,1.0200074980365113,DGT,2015-08-31 00:00:00+00:00,01.13.07/PDM/03/2015/149,Vigente,13
67465,67465,1307,MARCO DE CANAVESES,Solo Rural-Aglomerados Rurais,Solo Rústico,Aglomerado Rural,1/10000,CM - Vectorial e Raster,0.32902045913605543,DGT,2015-08-31 00:00:00+00:00,01.13.07/PDM/03/2015/149,Vigente,13
67466,67466,1307,MARCO DE CANAVESES,Solo Rural-Aglomerados Rurais,Solo Rústico,Aglomerado Rural,1/10000,CM - Vectorial e Raster,0.4353732271426357,DGT,2015-08-31 00:00:00+00:00,01.13.07/PDM/03/2015/149,Vigente,13
67467,67467,1307,MARCO DE CANAVESES,Solo Rural-Aglomerados Rurais,Solo Rústico,Aglomerado Rural,1/10000,CM - Vectorial e Raster,1.7159815114212107,DGT,2015-08-31 00:00:00+00:00,01.13.07/PDM/03/2015/149,Vigente,13
67468,67468,1307,MARCO DE CANAVESES,Solo Rural-Aglomerados Rurais,Solo Rústico,Aglomerado Rural,1/10000,CM - Vectorial e Raster,0.46461704962114925,DGT,2015-08-31 00:00:00+00:00,01.13.07/PDM/03/2015/149,Vigente,13
67469,67469,1307,MARCO DE CANAVESES,Solo Rural-Aglomerados Rurais,Solo Rústico,Aglomerado Rural,1/10000,CM - Vectorial e Raster,1.3897236984379124,DGT,2015-08-31 00:00:00+00:00,01.13.07/PDM/03/2015/149,Vigente,13
67470,67470,1307,MARCO DE CANAVESES,Solo Rural-Aglomerados Rurais,Solo Rústico,Aglomerado Rural,1/10000,CM - Vectorial e Raster,0.8392643057510489,DGT,2015-08-31 00:00:00+00:00,01.13.07/PDM/03/2015/149,Vigente,13
67471,67471,1307,MARCO DE CANAVESES,Solo Rural-Aglomerados Rurais,Solo Rústico,Aglomerado Rural,1/10000,CM - Vectorial e Raster,0.750058601037343,DGT,2015-08-31 00:00:00+00:00,01.13.07/PDM/03/2015/149,Vigente,13
67472,67472,1307,MARCO DE CANAVESES,Solo Rural-Aglomerados Rurais,Solo Rústico,Aglomerado Rural,1/10000,CM - Vectorial e Raster,1.4213782667002175,DGT,2015-08-31 00:00:00+00:00,01.13.07/PDM/03/2015/149,Vigente,13
