fid,objectid,dtcc,municipio,designacao_no_plano,classe_2021,categoria_2021,escala_origem,fonte,area_ha,autor,data_pub_origem,registo_ou_deposito,situacao_pdm,codigo
149574,149574,1310,PAREDES,Solo Rústico - Aglomerados Rurais -AR,Solo Rústico,Aglomerado Rural,1/10000,CM - Vectorial e Raster,1.2080036781340837,DGT,2024-05-17 00:00:00+00:00,01.13.10/PDM/03/2024/74,Vigente,13
149575,149575,1310,PAREDES,Solo Rústico - Aglomerados Rurais -AR,Solo Rústico,Aglomerado Rural,1/10000,CM - Vectorial e Raster,1.2853721180942141,DGT,2024-05-17 00:00:00+00:00,01.13.10/PDM/03/2024/74,Vigente,13
149576,149576,1310,PAREDES,Solo Rústico - Aglomerados Rurais -AR,Solo Rústico,Aglomerado Rural,1/10000,CM - Vectorial e Raster,2.744659662213462,DGT,2024-05-17 00:00:00+00:00,01.13.10/PDM/03/2024/74,Vigente,13
149577,149577,1310,PAREDES,Solo Rústico -  Espaço Cultural -EC,Solo Rústico,Espaço Cultural,1/10000,CM - Vectorial e Raster,2.311062223701136,DGT,2024-05-17 00:00:00+00:00,01.13.10/PDM/03/2024/74,Vigente,15
149578,149578,1310,PAREDES,Solo Rústico -  Espaço Cultural -EC,Solo Rústico,Espaço Cultural,1/10000,CM - Vectorial e Raster,0.6836379092526702,DGT,2024-05-17 00:00:00+00:00,01.13.10/PDM/03/2024/74,Vigente,15
149579,149579,1310,PAREDES,Solo Rústico - Espaço de Ocupação Turística -T,Solo Rústico,Espaço de Ocupação Turística,1/10000,CM - Vectorial e Raster,5.637857267751301,DGT,2024-05-17 00:00:00+00:00,01.13.10/PDM/03/2024/74,Vigente,16
149580,149580,1310,PAREDES,Solo Rústico - Espaço de Infraestruturas - EI,Solo Rústico,Espaço de Equipamentos e Infraestruturas,1/10000,CM - Vectorial e Raster,0.5511499555064598,DGT,2024-05-17 00:00:00+00:00,01.13.10/PDM/03/2024/74,Vigente,17
149581,149581,1310,PAREDES,Solo Rústico - Espaço de Infraestruturas - EI,Solo Rústico,Espaço de Equipamentos e Infraestruturas,1/10000,CM - Vectorial e Raster,0.1849326574122184,DGT,2024-05-17 00:00:00+00:00,01.13.10/PDM/03/2024/74,Vigente,17
149582,149582,1310,PAREDES,Solo Rústico - Espaço Agrícola de Produção- AP,Solo Rústico,Espaço Agrícola,1/10000,CM - Vectorial e Raster,3.1058443864830303,DGT,2024-05-17 00:00:00+00:00,01.13.10/PDM/03/2024/74,Vigente,8
149583,149583,1310,PAREDES,Solo Rústico - Espaço Florestal de Conservação - FC,Solo Rústico,Espaço Florestal,1/10000,CM - Vectorial e Raster,0.8184564988082624,DGT,2024-05-17 00:00:00+00:00,01.13.10/PDM/03/2024/74,Vigente,9
149584,149584,1310,PAREDES,Solo Rústico - Espaço Florestal de Conservação - FC,Solo Rústico,Espaço Florestal,1/10000,CM - Vectorial e Raster,3.5471175889596345,DGT,2024-05-17 00:00:00+00:00,01.13.10/PDM/03/2024/74,Vigente,9
149585,149585,1310,PAREDES,Solo Rústico - Espaço Florestal de Conservação - FC,Solo Rústico,Espaço Florestal,1/10000,CM - Vectorial e Raster,2.8767834658038742,DGT,2024-05-17 00:00:00+00:00,01.13.10/PDM/03/2024/74,Vigente,9
149586,149586,1310,PAREDES,Solo Rústico - Espaço Florestal de Conservação - FC,Solo Rústico,Espaço Florestal,1/10000,CM - Vectorial e Raster,3.042687802595034,DGT,2024-05-17 00:00:00+00:00,01.13.10/PDM/03/2024/74,Vigente,9
149587,149587,1310,PAREDES,Solo Rústico - Espaço Florestal de Conservação - FC,Solo Rústico,Espaço Florestal,1/10000,CM - Vectorial e Raster,8.556065754520521,DGT,2024-05-17 00:00:00+00:00,01.13.10/PDM/03/2024/74,Vigente,9
149588,149588,1310,PAREDES,Solo Rústico - Espaço Florestal de Conservação - FC,Solo Rústico,Espaço Florestal,1/10000,CM - Vectorial e Raster,0.7856337524534028,DGT,2024-05-17 00:00:00+00:00,01.13.10/PDM/03/2024/74,Vigente,9
149589,149589,1310,PAREDES,Solo Rústico - Espaço Florestal de Conservação - FC,Solo Rústico,Espaço Florestal,1/10000,CM - Vectorial e Raster,15.270306234299124,DGT,2024-05-17 00:00:00+00:00,01.13.10/PDM/03/2024/74,Vigente,9
149590,149590,1310,PAREDES,Solo Rústico - Espaço Florestal de Conservação - FC,Solo Rústico,Espaço Florestal,1/10000,CM - Vectorial e Raster,0.641928538401955,DGT,2024-05-17 00:00:00+00:00,01.13.10/PDM/03/2024/74,Vigente,9
149591,149591,1310,PAREDES,Solo Rústico - Espaço Florestal de Conservação - FC,Solo Rústico,Espaço Florestal,1/10000,CM - Vectorial e Raster,3.4824565079644323,DGT,2024-05-17 00:00:00+00:00,01.13.10/PDM/03/2024/74,Vigente,9
149592,149592,1310,PAREDES,Solo Rústico - Espaço Agrícola de Produção- AP,Solo Rústico,Espaço Agrícola,1/10000,CM - Vectorial e Raster,5.761703347417224,DGT,2024-05-17 00:00:00+00:00,01.13.10/PDM/03/2024/74,Vigente,8
149593,149593,1310,PAREDES,Solo Rústico - Espaço Florestal de Conservação - FC,Solo Rústico,Espaço Florestal,1/10000,CM - Vectorial e Raster,2.474305857596174,DGT,2024-05-17 00:00:00+00:00,01.13.10/PDM/03/2024/74,Vigente,9
149594,149594,1310,PAREDES,Solo Rústico - Espaço Florestal de Conservação - FC,Solo Rústico,Espaço Florestal,1/10000,CM - Vectorial e Raster,0.3687572865998354,DGT,2024-05-17 00:00:00+00:00,01.13.10/PDM/03/2024/74,Vigente,9
149595,149595,1310,PAREDES,Solo Rústico - Espaço Florestal de Conservação - FC,Solo Rústico,Espaço Florestal,1/10000,CM - Vectorial e Raster,28.796115608571633,DGT,2024-05-17 00:00:00+00:00,01.13.10/PDM/03/2024/74,Vigente,9
149596,149596,1310,PAREDES,Solo Rústico - Espaço Florestal de Produção - FP,Solo Rústico,Espaço Florestal,1/10000,CM - Vectorial e Raster,37.57909431576008,DGT,2024-05-17 00:00:00+00:00,01.13.10/PDM/03/2024/74,Vigente,9
