fid,objectid,dtcc,municipio,designacao_no_plano,classe_2021,categoria_2021,escala_origem,fonte,area_ha,autor,data_pub_origem,registo_ou_deposito,situacao_pdm,codigo
90967,90967,1308,MATOSINHOS,Rio Leça,Solo Rústico,Espaço Natural e Paisagístico,1/15000,CM - Vectorial e Raster,0.061209640879696235,DGT,2019-08-21 00:00:00+00:00,01.13.08/PDM/03/2019/166,Vigente,11
90968,90968,1308,MATOSINHOS,Linha de Água,Solo Rústico,Espaço Natural e Paisagístico,1/15000,CM - Vectorial e Raster,0.0484648511326639,DGT,2019-08-21 00:00:00+00:00,01.13.08/PDM/03/2019/166,Vigente,11
90969,90969,1308,MATOSINHOS,Linha de Água,Solo Rústico,Espaço Natural e Paisagístico,1/15000,CM - Vectorial e Raster,0.047215365731960626,DGT,2019-08-21 00:00:00+00:00,01.13.08/PDM/03/2019/166,Vigente,11
90970,90970,1308,MATOSINHOS,Linha de Água,Solo Rústico,Espaço Natural e Paisagístico,1/15000,CM - Vectorial e Raster,0.2653544789941516,DGT,2019-08-21 00:00:00+00:00,01.13.08/PDM/03/2019/166,Vigente,11
90971,90971,1308,MATOSINHOS,Linha de Água,Solo Rústico,Espaço Natural e Paisagístico,1/15000,CM - Vectorial e Raster,0.0431349062930909,DGT,2019-08-21 00:00:00+00:00,01.13.08/PDM/03/2019/166,Vigente,11
90972,90972,1308,MATOSINHOS,Linha de Água,Solo Rústico,Espaço Natural e Paisagístico,1/15000,CM - Vectorial e Raster,0.1373226273268694,DGT,2019-08-21 00:00:00+00:00,01.13.08/PDM/03/2019/166,Vigente,11
90973,90973,1308,MATOSINHOS,Solo Rústico - Espaços Agrícolas,Solo Rústico,Espaço Agrícola,1/15000,CM - Vectorial e Raster,0.014275179191445931,DGT,2019-08-21 00:00:00+00:00,01.13.08/PDM/03/2019/166,Vigente,8
90974,90974,1308,MATOSINHOS,Linha de Água,Solo Rústico,Espaço Natural e Paisagístico,1/15000,CM - Vectorial e Raster,0.13046446276572532,DGT,2019-08-21 00:00:00+00:00,01.13.08/PDM/03/2019/166,Vigente,11
90975,90975,1308,MATOSINHOS,Linha de Água,Solo Rústico,Espaço Natural e Paisagístico,1/15000,CM - Vectorial e Raster,3.201561359614262,DGT,2019-08-21 00:00:00+00:00,01.13.08/PDM/03/2019/166,Vigente,11
90976,90976,1308,MATOSINHOS,Solo Rústico - Espaços Naturais e Paisagísticos ,Solo Rústico,Espaço Natural e Paisagístico,1/15000,CM - Vectorial e Raster,0.47985585743796544,DGT,2019-08-21 00:00:00+00:00,01.13.08/PDM/03/2019/166,Vigente,11
90977,90977,1308,MATOSINHOS,Solo Rústico - Espaços Naturais e Paisagísticos ,Solo Rústico,Espaço Natural e Paisagístico,1/15000,CM - Vectorial e Raster,0.00893861384665288,DGT,2019-08-21 00:00:00+00:00,01.13.08/PDM/03/2019/166,Vigente,11
90978,90978,1308,MATOSINHOS,Solo Rústico - Espaços Naturais e Paisagísticos ,Solo Rústico,Espaço Natural e Paisagístico,1/15000,CM - Vectorial e Raster,0.026772375047329114,DGT,2019-08-21 00:00:00+00:00,01.13.08/PDM/03/2019/166,Vigente,11
90979,90979,1308,MATOSINHOS,Solo Rústico - Espaços Naturais e Paisagísticos ,Solo Rústico,Espaço Natural e Paisagístico,1/15000,CM - Vectorial e Raster,0.059968731065728934,DGT,2019-08-21 00:00:00+00:00,01.13.08/PDM/03/2019/166,Vigente,11
90980,90980,1308,MATOSINHOS,Solo Urbano - Espaços Urbanos de Baixa Densidade,Solo Urbano,Espaço Urbano de Baixa Densidade,1/15000,CM - Vectorial e Raster,1.1315249889211845,DGT,2019-08-21 00:00:00+00:00,01.13.08/PDM/03/2019/166,Vigente,4
90981,90981,1308,MATOSINHOS,Solo Rústico - Espaços Naturais e Paisagísticos ,Solo Rústico,Espaço Natural e Paisagístico,1/15000,CM - Vectorial e Raster,2.9498967977470603,DGT,2019-08-21 00:00:00+00:00,01.13.08/PDM/03/2019/166,Vigente,11
90982,90982,1308,MATOSINHOS,Solo Rústico - Espaços Naturais e Paisagísticos ,Solo Rústico,Espaço Natural e Paisagístico,1/15000,CM - Vectorial e Raster,0.2949778416755318,DGT,2019-08-21 00:00:00+00:00,01.13.08/PDM/03/2019/166,Vigente,11
90983,90983,1308,MATOSINHOS,Solo Rústico - Espaços Agrícolas,Solo Rústico,Espaço Agrícola,1/15000,CM - Vectorial e Raster,0.3662761266193353,DGT,2019-08-21 00:00:00+00:00,01.13.08/PDM/03/2019/166,Vigente,8
90984,90984,1308,MATOSINHOS,Solo Rústico - Espaços Florestais,Solo Rústico,Espaço Florestal,1/15000,CM - Vectorial e Raster,3.853886380837858,DGT,2019-08-21 00:00:00+00:00,01.13.08/PDM/03/2019/166,Vigente,9
90985,90985,1308,MATOSINHOS,Solo Rústico - Espaços Agrícolas,Solo Rústico,Espaço Agrícola,1/15000,CM - Vectorial e Raster,3.2286224257022664,DGT,2019-08-21 00:00:00+00:00,01.13.08/PDM/03/2019/166,Vigente,8
90986,90986,1308,MATOSINHOS,Solo Urbano - Espaços Urbanos de Baixa Densidade,Solo Urbano,Espaço Urbano de Baixa Densidade,1/15000,CM - Vectorial e Raster,29.251007390954207,DGT,2019-08-21 00:00:00+00:00,01.13.08/PDM/03/2019/166,Vigente,4
90987,90987,1308,MATOSINHOS,Solo Rústico - Espaços Agrícolas,Solo Rústico,Espaço Agrícola,1/15000,CM - Vectorial e Raster,1.083081120840367,DGT,2019-08-21 00:00:00+00:00,01.13.08/PDM/03/2019/166,Vigente,8
90988,90988,1308,MATOSINHOS,Solo Rústico - Espaços Agrícolas,Solo Rústico,Espaço Agrícola,1/15000,CM - Vectorial e Raster,1.0214278487680306,DGT,2019-08-21 00:00:00+00:00,01.13.08/PDM/03/2019/166,Vigente,8
90989,90989,1308,MATOSINHOS,Solo Rústico - Espaços Agrícolas,Solo Rústico,Espaço Agrícola,1/15000,CM - Vectorial e Raster,1.6078162255627744,DGT,2019-08-21 00:00:00+00:00,01.13.08/PDM/03/2019/166,Vigente,8
90990,90990,1308,MATOSINHOS,Solo Rústico - Espaços Agrícolas,Solo Rústico,Espaço Agrícola,1/15000,CM - Vectorial e Raster,0.19811572146039907,DGT,2019-08-21 00:00:00+00:00,01.13.08/PDM/03/2019/166,Vigente,8
90991,90991,1308,MATOSINHOS,Solo Rústico - Espaços Florestais,Solo Rústico,Espaço Florestal,1/15000,CM - Vectorial e Raster,11.624700801981476,DGT,2019-08-21 00:00:00+00:00,01.13.08/PDM/03/2019/166,Vigente,9
