fid,objectid,dtcc,municipio,designacao_no_plano,classe_2021,categoria_2021,escala_origem,fonte,area_ha,autor,data_pub_origem,registo_ou_deposito,situacao_pdm,codigo
205066,205066,1306,MAIA,Solo Rústico - Espaços florestais de Proteção,Solo Rústico,Espaço Florestal,1/10000,CM - Vectorial e Raster,14.833146710437559,DGT,2025-02-19 00:00:00+00:00,01.13.06/PDM/03/2025/32,Vigente,9
205067,205067,1306,MAIA,Solo Rústico - Espaços florestais de Proteção,Solo Rústico,Espaço Florestal,1/10000,CM - Vectorial e Raster,2.800916580129042,DGT,2025-02-19 00:00:00+00:00,01.13.06/PDM/03/2025/32,Vigente,9
205068,205068,1306,MAIA,Solo Rústico - Espaços florestais de Proteção,Solo Rústico,Espaço Florestal,1/10000,CM - Vectorial e Raster,4.040794377336372,DGT,2025-02-19 00:00:00+00:00,01.13.06/PDM/03/2025/32,Vigente,9
205069,205069,1306,MAIA,Solo Rústico - Espaços florestais de Proteção,Solo Rústico,Espaço Florestal,1/10000,CM - Vectorial e Raster,19.939869851460028,DGT,2025-02-19 00:00:00+00:00,01.13.06/PDM/03/2025/32,Vigente,9
205070,205070,1306,MAIA,Solo Rústico - Espaços florestais de Recreio e valorização da paisagem,Solo Rústico,Espaço Florestal,1/10000,CM - Vectorial e Raster,1.3839513796779968,DGT,2025-02-19 00:00:00+00:00,01.13.06/PDM/03/2025/32,Vigente,9
205071,205071,1306,MAIA,Solo Rústico - Espaços florestais de Recreio e valorização da paisagem,Solo Rústico,Espaço Florestal,1/10000,CM - Vectorial e Raster,20.69480717888988,DGT,2025-02-19 00:00:00+00:00,01.13.06/PDM/03/2025/32,Vigente,9
205072,205072,1306,MAIA,Solo Rústico - Espaços florestais de Recreio e valorização da paisagem,Solo Rústico,Espaço Florestal,1/10000,CM - Vectorial e Raster,29.034562173110746,DGT,2025-02-19 00:00:00+00:00,01.13.06/PDM/03/2025/32,Vigente,9
205073,205073,1306,MAIA,Solo Rústico - Espaços naturais e paisagísticos,Solo Rústico,Espaço Natural e Paisagístico,1/10000,CM - Vectorial e Raster,6.700746832025721,DGT,2025-02-19 00:00:00+00:00,01.13.06/PDM/03/2025/32,Vigente,11
205074,205074,1306,MAIA,Solo Rústico - Espaços naturais e paisagísticos,Solo Rústico,Espaço Natural e Paisagístico,1/10000,CM - Vectorial e Raster,14.819356903342717,DGT,2025-02-19 00:00:00+00:00,01.13.06/PDM/03/2025/32,Vigente,11
205075,205075,1306,MAIA,Solo Rústico - Espaços naturais e paisagísticos,Solo Rústico,Espaço Natural e Paisagístico,1/10000,CM - Vectorial e Raster,31.08868555470151,DGT,2025-02-19 00:00:00+00:00,01.13.06/PDM/03/2025/32,Vigente,11
205076,205076,1306,MAIA,Solo Rústico - Espaços naturais e paisagísticos,Solo Rústico,Espaço Natural e Paisagístico,1/10000,CM - Vectorial e Raster,5.3963470436451955,DGT,2025-02-19 00:00:00+00:00,01.13.06/PDM/03/2025/32,Vigente,11
205077,205077,1306,MAIA,Solo Rústico - Espaços naturais e paisagísticos,Solo Rústico,Espaço Natural e Paisagístico,1/10000,CM - Vectorial e Raster,37.743805718872125,DGT,2025-02-19 00:00:00+00:00,01.13.06/PDM/03/2025/32,Vigente,11
205078,205078,1306,MAIA,Solo Rústico - Espaços naturais e paisagísticos,Solo Rústico,Espaço Natural e Paisagístico,1/10000,CM - Vectorial e Raster,4.975223215665529,DGT,2025-02-19 00:00:00+00:00,01.13.06/PDM/03/2025/32,Vigente,11
205079,205079,1306,MAIA,Solo Rústico - Espaços naturais e paisagísticos,Solo Rústico,Espaço Natural e Paisagístico,1/10000,CM - Vectorial e Raster,5.240656855956046,DGT,2025-02-19 00:00:00+00:00,01.13.06/PDM/03/2025/32,Vigente,11
205080,205080,1306,MAIA,Solo Rústico - Espaços naturais e paisagísticos,Solo Rústico,Espaço Natural e Paisagístico,1/10000,CM - Vectorial e Raster,8.427421224841929,DGT,2025-02-19 00:00:00+00:00,01.13.06/PDM/03/2025/32,Vigente,11
205081,205081,1306,MAIA,Solo Rústico - Espaços naturais e paisagísticos,Solo Rústico,Espaço Natural e Paisagístico,1/10000,CM - Vectorial e Raster,32.33700403741815,DGT,2025-02-19 00:00:00+00:00,01.13.06/PDM/03/2025/32,Vigente,11
205082,205082,1306,MAIA,Solo Urbano - Espaços de atividades económicas - Industrial e logística,Solo Urbano,Espaço de Atividades Económicas,1/10000,CM - Vectorial e Raster,26.663297027053964,DGT,2025-02-19 00:00:00+00:00,01.13.06/PDM/03/2025/32,Vigente,5
205083,205083,1306,MAIA,Solo Urbano - Espaços de atividades económicas - Industrial e logística,Solo Urbano,Espaço de Atividades Económicas,1/10000,CM - Vectorial e Raster,10.262853371767898,DGT,2025-02-19 00:00:00+00:00,01.13.06/PDM/03/2025/32,Vigente,5
205084,205084,1306,MAIA,Solo Urbano - Espaços de atividades económicas - Industrial e logística,Solo Urbano,Espaço de Atividades Económicas,1/10000,CM - Vectorial e Raster,41.36017504819307,DGT,2025-02-19 00:00:00+00:00,01.13.06/PDM/03/2025/32,Vigente,5
205085,205085,1306,MAIA,Solo Urbano - Espaços de atividades económicas - Industrial e logística,Solo Urbano,Espaço de Atividades Económicas,1/10000,CM - Vectorial e Raster,56.8239322477534,DGT,2025-02-19 00:00:00+00:00,01.13.06/PDM/03/2025/32,Vigente,5
205086,205086,1306,MAIA,Solo Urbano - Espaços de atividades económicas - Industrial e logística,Solo Urbano,Espaço de Atividades Económicas,1/10000,CM - Vectorial e Raster,5.063675348745415,DGT,2025-02-19 00:00:00+00:00,01.13.06/PDM/03/2025/32,Vigente,5
205087,205087,1306,MAIA,Solo Urbano - Espaços de atividades económicas - Industrial e logística,Solo Urbano,Espaço de Atividades Económicas,1/10000,CM - Vectorial e Raster,10.020751973819035,DGT,2025-02-19 00:00:00+00:00,01.13.06/PDM/03/2025/32,Vigente,5
205088,205088,1306,MAIA,Solo Urbano - Espaços de atividades económicas - Industrial e logística,Solo Urbano,Espaço de Atividades Económicas,1/10000,CM - Vectorial e Raster,41.17130226639643,DGT,2025-02-19 00:00:00+00:00,01.13.06/PDM/03/2025/32,Vigente,5
205089,205089,1306,MAIA,Solo Urbano - Espaços de atividades económicas - Industrial e logística,Solo Urbano,Espaço de Atividades Económicas,1/10000,CM - Vectorial e Raster,41.350754003683306,DGT,2025-02-19 00:00:00+00:00,01.13.06/PDM/03/2025/32,Vigente,5
205090,205090,1306,MAIA,Solo Urbano - Espaços de atividades económicas - Industrial e logística,Solo Urbano,Espaço de Atividades Económicas,1/10000,CM - Vectorial e Raster,76.7370756757773,DGT,2025-02-19 00:00:00+00:00,01.13.06/PDM/03/2025/32,Vigente,5
205091,205091,1306,MAIA,Solo Urbano - Espaços de atividades económicas - Industrial e logística,Solo Urbano,Espaço de Atividades Económicas,1/10000,CM - Vectorial e Raster,7.419614245609008,DGT,2025-02-19 00:00:00+00:00,01.13.06/PDM/03/2025/32,Vigente,5
205092,205092,1306,MAIA,Solo Urbano - Espaços de atividades económicas - Industrial e logística,Solo Urbano,Espaço de Atividades Económicas,1/10000,CM - Vectorial e Raster,3.2848282419329045,DGT,2025-02-19 00:00:00+00:00,01.13.06/PDM/03/2025/32,Vigente,5
205093,205093,1306,MAIA,Solo Urbano - Espaços de atividades económicas - Industrial e logística,Solo Urbano,Espaço de Atividades Económicas,1/10000,CM - Vectorial e Raster,12.433086509625614,DGT,2025-02-19 00:00:00+00:00,01.13.06/PDM/03/2025/32,Vigente,5
205094,205094,1306,MAIA,Solo Urbano - Espaços de atividades económicas - Industrial e logística,Solo Urbano,Espaço de Atividades Económicas,1/10000,CM - Vectorial e Raster,4.119320302956235,DGT,2025-02-19 00:00:00+00:00,01.13.06/PDM/03/2025/32,Vigente,5
205095,205095,1306,MAIA,Solo Urbano - Espaços de atividades económicas - Industrial e logística,Solo Urbano,Espaço de Atividades Económicas,1/10000,CM - Vectorial e Raster,1.4044296949060866,DGT,2025-02-19 00:00:00+00:00,01.13.06/PDM/03/2025/32,Vigente,5
205096,205096,1306,MAIA,Solo Urbano - Espaços de atividades económicas - Industrial e logística,Solo Urbano,Espaço de Atividades Económicas,1/10000,CM - Vectorial e Raster,15.387033122297563,DGT,2025-02-19 00:00:00+00:00,01.13.06/PDM/03/2025/32,Vigente,5
205097,205097,1306,MAIA,Solo Urbano - Espaços de atividades económicas - Industrial e logística,Solo Urbano,Espaço de Atividades Económicas,1/10000,CM - Vectorial e Raster,2.124687515048124,DGT,2025-02-19 00:00:00+00:00,01.13.06/PDM/03/2025/32,Vigente,5
