Fonte: www.ine.pt – Sistema de metainformação
Exportação de categorias - Data de extração: 15-09-2026.

Família,Territoriais
Classificação,Tipologia de áreas urbanas
Versão,"V05635 - Tipologia de áreas urbanas, 2025"
Tipo de exportação,Total
Data de referência,15-09-2026

Nível,Código,Designação
3,030620,União das freguesias de Palmeira de Faro e Curvos
2,APU0307A,Fafe
3,030708,Estorãos
3,030709,Fafe
3,030712,Fornelos
3,030714,Golães
3,030716,Medelo
3,030726,Arões (Santa Cristina)
3,030730,Arões (São Romão)
2,APU0307B,Regadas 
3,030723,Regadas
2,APU0308A,Guimarães
3,030801,Aldão
3,030804,Azurém
3,030806,Barco
3,030807,Brito
3,030808,Caldelas
3,030812,Costa
3,030813,Creixomil
3,030815,Fermentões
3,030821,Gondar
3,030823,Guardizela
3,030828,Lordelo
3,030830,Mesão Frio
3,030831,Moreira de Cónegos
3,030832,Nespereira
3,030835,Pencelo
3,030836,Pinheiro
3,030837,Polvoreira
3,030838,Ponte
3,030840,Ronfe
3,030842,Prazins (Santa Eufémia)
3,030850,Selho (São Cristóvão)
3,030854,Selho (São Jorge)
3,030858,Sande (São Martinho)
3,030865,São Torcato
3,030866,Serzedelo
3,030868,Silvares
3,030871,Urgezes
3,030875,União das freguesias de Abação e Gémeos
3,030876,"União das freguesias de Airão Santa Maria, Airão São João e Vermil"
3,030879,União das freguesias de Briteiros Santo Estêvão e Donim
3,030881,União das freguesias de Candoso São Tiago e Mascotelos
3,030882,União das freguesias de Conde e Gandarela
3,030884,"União das freguesias de Oliveira, São Paio e São Sebastião"
3,030885,União das freguesias de Prazins Santo Tirso e Corvite
3,030887,União das freguesias de Sande Vila Nova e Sande São Clemente
3,030891,União das freguesias de Tabuadelo e São Faustino
2,APU0309A,Póvoa de Lanhoso
3,030912,Galegos
3,030919,Póvoa de Lanhoso (Nossa Senhora do Amparo)
3,030922,Santo Emilião
2,APU0309B,Santo Emilião
2,APU0311A,Vieira do Minho
3,031120,Vieira do Minho
2,APU0312A,Vila Nova de Famalicão
3,031204,Bairro
3,031206,Brufe
3,031210,Castelões
